,Metric,Current Calculation,BVP Dataset Calculation
0,Heart Rate,70.29804727646453,71.25773195876289
1,SDNN,0.2362647283300616,0.20845627159721025
2,RMSSD,0.36358244208458723,0.3113951055567603
3,BSI,0.5682787818460397,1.0198063717860837
4,LF/HF Ratio,0.31543498041264917,0.14186877152575572
